Loaded learner weights from /Users/utsumikensuke/Research/Cartpole/model_weights/best_flanker_rnn_model.pth
Start training on cpu...
Episode 19000 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 19050 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 19100 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 19150 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 19200 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 19250 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 19300 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 19350 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 19400 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 19450 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 19500 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 19550 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 19600 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 19650 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 19700 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 19750 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 19800 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 19850 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 19900 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 19950 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 20000 | Avg Return: 0.00 | Learner Acc: 100.00%
Training finished and model saved.
